ODOO NAME,SHEET NAME
CESS HB BLACK,CESS BLACK
CESS HB SPICE,CESS SPICE
CESS HB CRACKED,CESS CRACKED
CESS HB GREY,CESS GREY
CESS HB BEIGE,CESS BEIGE
CESS HB GREEN,CESS GREEN
CESS HB CHOCO,CESS CHOCO
CESS HB DARK BROWN,CESS DARK BROWN
CESS HB RED,CESS RED
STANDARD TRAVEL BLACK,TRAVEL BLACK
STANDARD TRAVEL BROWN,TRAVEL BROWN
STANDARD TRAVEL GREEN,TRAVEL GREEN
STANDARD TRAVEL GREY,TRAVEL GREY
STANDARD TRAVEL NUDE,TRAVEL NUDE
STANDARD TRAVEL RED,TRAVEL RED
STANDARD TRAVEL BLUE,TRAVEL BLUE
STANDARD TRAVEL YELLOW DOTTED,TRAVEL YELLOW DOTTED
LAMORA SKY BLUE,LAMORA SKYE BLUE
LEGACY ANTELOPE BROWN,LEGACY BROWN
BELT BAG NUDE,BELT BAG BEIGE
ZULA BLACK 018,ZULA BLACK
GIFT BAG A4 RED,GIFT BAG A4
ADRIAN Y DOTTED,ADRIAN YELLOW DOTTED
ARIA PRO YELLOW,ARIA PRO YELLOW BROWN
ARLO MAN BAG YELLOW,ARLO MAN BAG YELLOW BROWN
LAFEMME PINK (ÉCLAT),LAFEMME PINK (E'CLAT)
LOOP BP 018 BLACK,LOOP BP BLACK
OVAL HANDBAG RED P,OVAL HANDBAG RED PATTERN
SAFIRI TRAVEL PATTERN BLUE,SAFIRI TRAVEL P BLUE
