COLOUR,CATEGORY,PRODUCT NAME,BAG TYPE
Brown,SLING,ACE CROC BROWN,ACE
Red,SLING,ACE RED,ACE
Beige,SLING,ACE BEIGE,ACE
Black,SLING,ACE BLACK TT,ACE
Brown,SLING,ACE CRACKED,ACE
Brown,SLING,ACE SPICE,ACE
Brown,SLING,ACE CHOCOLATE,ACE
Grey,SLING,ACE GREY,ACE
Brown,SLING,ACE DARK BROWN,ACE
Red,SLING,ACE RED PATTERN,ACE
Brown,SLING,ACE MUSTARD,ACE
Pink,SLING,ACE CROC PINK,ACE
Orange,SLING,ACE CROC ORANGE,ACE
Brown,SLING,ACE CROC MUSTARD,ACE
Blue,SLING,ACE BLUE,ACE
Pink,SLING,ACE PINK,ACE
Brown,SLING,ACE BROWN,ACE
Pink,SLING,ACE LILAC,ACE
Green,SLING,ACE MINT GREEN,ACE
Green,SLING,ACE GREEN,ACE
Black,SLING,ACE CROC BLACK,ACE
Black,BACKPACK,ADRIAN BLACK,ADRIAN
Brown,BACKPACK,ADRIAN YELLOW DOTTED,ADRIAN
Green,BACKPACK,ADRIAN GREEN,ADRIAN
Grey,BACKPACK,ADRIAN GREY,ADRIAN
Beige,BACKPACK,ADRIAN NUDE,ADRIAN
Brown,BACKPACK,ADRIAN BROWN,ADRIAN
Black,TRAVEL,ALPHA TRAVEL BLACK,ALPHA TRAVEL
Brown,TRAVEL,ALPHA TRAVEL BROWN,ALPHA TRAVEL
Beige,TRAVEL,ALPHA TRAVEL NUDE,ALPHA TRAVEL
Grey,TRAVEL,ALPHA TRAVEL GREY,ALPHA TRAVEL
Brown,TRAVEL,ALPHA TRAVEL YELLOW DOTTED,ALPHA TRAVEL
Green,TRAVEL,ALPHA TRAVEL GREEN,ALPHA TRAVEL
Black,BRIEFCASE,AMARI BLACK/CRACKED,AMARI
Black,BRIEFCASE,AMARI BLACK,AMARI
Black,BRIEFCASE,AMARI BLACK/BEIGE,AMARI
Black,BRIEFCASE,AMARI BLACK/GREY,AMARI
Black,BRIEFCASE,AMARI BLACK/D.BROWN,AMARI
Black,BRIEFCASE,AMARI BLACK/SPICE,AMARI
Black,BRIEFCASE,AMARI BLACK/RED,AMARI
Black,BRIEFCASE,AMARI BLACK/CHOCO,AMARI
Black,HANDBAG,AMAYA BLACK TT,AMAYA
Brown,HANDBAG,AMAYA SPICE,AMAYA
Brown,HANDBAG,AMAYA CRACKED,AMAYA
Grey,HANDBAG,AMAYA GREY,AMAYA
Beige,HANDBAG,AMAYA BEIGE,AMAYA
Brown,HANDBAG,AMAYA CHOCO,AMAYA
Brown,HANDBAG,AMAYA DARK BROWN,AMAYA
Red,HANDBAG,AMAYA RED,AMAYA
Black,HANDBAG,AMAYA CROC BLACK,AMAYA
Black,HANDBAG,AMAYA WOOVEN BLACK,AMAYA
Red,HANDBAG,AMAYA WOOVEN MAROON,AMAYA
Brown,HANDBAG,AMAYA WOOVEN MUSTARD,AMAYA
Purple,HANDBAG,AMAYA WOOVEN PURPLE,AMAYA
Green,HANDBAG,AMAYA GREEN,AMAYA
Pink,HANDBAG,AMAYA LILAC,AMAYA
Brown,HANDBAG,AMAYA MUSTARD,AMAYA
Black,SLING,AMORA BLACK,AMORA
Red,SLING,AMORA RED,AMORA
Pink,SLING,AMORA PINK,AMORA
Blue,SLING,AMORA BLUE,AMORA
Green,SLING,AMORA GREEN,AMORA
Brown,SLING,AMORA MUSTARD,AMORA
Red,SLING,AMORA MAROON,AMORA
Purple,SLING,AMORA PURPLE,AMORA
Brown,SLING,ANA CROC MUSTARD,ANA
Orange,SLING,ANA CROC ORANGE,ANA
Brown,SLING,ANA CROC BROWN,ANA
Pink,SLING,ANA CROC PINK,ANA
Pink,SLING,ANA LILAC,ANA
Pink,SLING,ANA PINK,ANA
Brown,SLING,ANA MUSTARD,ANA
Brown,SLING,ANA BROWN,ANA
Green,SLING,ANA GREEN,ANA
Red,SLING,ANA RED P,ANA
Black,SLING,ANA BLACK,ANA
Black,TRAVEL,ANKARA TRAVEL BLACK,ANKARA TRAVEL
,TRAVEL,ANKARA TRAVEL WHITE,ANKARA TRAVEL
Grey,TRAVEL,ANKARA TRAVEL GREY,ANKARA TRAVEL
Beige,TRAVEL,ANKARA TRAVEL NUDE,ANKARA TRAVEL
Brown,TRAVEL,ANKARA TRAVEL BROWN,ANKARA TRAVEL
Black,BACKPACK,ANTITHEFT BLACK,ANTITHEFT
Brown,BACKPACK,ANTITHEFT BROWN,ANTITHEFT
Beige,BACKPACK,ANTITHEFT NUDE,ANTITHEFT
Grey,BACKPACK,ANTITHEFT GREY,ANTITHEFT
Brown,BACKPACK,ANTITHEFT ANTELOPE BROWN,ANTITHEFT
Blue,BACKPACK,ANTITHEFT DENIM BLUE,ANTITHEFT
Brown,BACKPACK,ANTITHEFT YELLOW DOTTED,ANTITHEFT
Red,BACKPACK,ANTITHEFT CRIMSON,ANTITHEFT
Green,BACKPACK,ANTITHEFT GREEN,ANTITHEFT
Black,BACKPACK,ANTITHEFT CN BLACK,ANTITHEFT
Red,SLING,ARIA PRO RED,ARIA PRO
Beige,SLING,ARIA PRO BEIGE,ARIA PRO
Black,SLING,ARIA PRO BLACK,ARIA PRO
Brown,SLING,ARIA PRO CRACKED,ARIA PRO
Brown,SLING,ARIA PRO SPICE,ARIA PRO
Brown,SLING,ARIA PRO CHOCOLATE,ARIA PRO
Brown,SLING,ARIA PRO YELLOW BROWN,ARIA PRO
Red,SLING,ARIA PRO MAROON,ARIA PRO
Brown,SLING,ARIA PRO AMBER,ARIA PRO
Grey,SLING,ARIA PRO GREY,ARIA PRO
Brown,SLING,ARIA PRO DARK BROWN,ARIA PRO
Red,SLING,ARIA SLING RED,ARIA SLING
Beige,SLING,ARIA SLING BEIGE,ARIA SLING
Black,SLING,ARIA SLING BLACK,ARIA SLING
Brown,SLING,ARIA SLING CRACKED,ARIA SLING
Brown,SLING,ARIA SLING SPICE,ARIA SLING
Brown,SLING,ARIA SLING CHOCOLATE,ARIA SLING
Brown,SLING,ARIA SLING YELLOW BROWN,ARIA SLING
Red,SLING,ARIA SLING MAROON,ARIA SLING
Pink,SLING,ARIA SLING CROC PINK,ARIA SLING
Grey,SLING,ARIA SLING GREY,ARIA SLING
