BAG TYPE,COLOR,UNITS
ACE,BEIGE,2
ACE,BLACK TT,4
ACE,SPICE,1
ALPHA TRAVEL,BROWN,1
ALPHA TRAVEL,GREEN,1
AMAYA,BLACK TT,3
AMAYA,SPICE,1
AMAYA,GREY,1
AMAYA,CHOCO,2
ANTITHEFT,BLACK,2
ANTITHEFT,BROWN,4
ANTITHEFT,GREEN,2
ARIA PRO,BLACK,1
ARIA SLING,BLACK,14
ARIA SLING,CRACKED,6
ARIA SLING,SPICE,1
ARIA SLING,GREY,7
ARLO MAN BAG,CRACKED,1
AURORA,SPICE,4
AURORA,BLACK,1
AURORA,BEIGE,1
AURORA,CRACKED,2
AURORA,GREY,1
AVANA HB,BLACK,1
AVANA HB,CRACKED,2
AVANA HB,CHOCOLATE,2
BABY BAG,NUDE,1
BABY BAG,BROWN,1
BELT BAG,BLACK,4
BELT BAG,RED,1
BELT BAG,CRACKED,1
BELT BAG,SPICE,1
BELT BAG,GREY,1
BELT BAG,CHOCOLATE,1
BELT BAG,DARK BROWN,1
BIG MAN BAG,BLACK,5
BIG MAN BAG,BROWN,4
BIG MAN BAG,GREY,3
BIG MAN BAG,NUDE,1
BONITA,BLACK,1
BONITA,GREY,1
BUTTERFLY SLING,CRACKED,4
BUTTERFLY SLING,GREY,2
CATHY HANDBAG,BLACK,1
CATHY HANDBAG,SPICE,1
CATHY HANDBAG,CRACKED,1
CATHY HANDBAG,GREY,1
CATHY HANDBAG,CHOCO,2
CELINE SLING BAG,BLACK,2
CESS,GREY,2
CHARLOTTE,BLACK,1
CHARLOTTE,MUSTARD,1
CLAIRE HANDBAG,BLACK,2
CLAIRE HANDBAG,SPICE,7
CLAIRE HANDBAG,W.MAROON,1
CODE 3,NUDE,1
CODE 3,BROWN,1
CODE 3,BLACK,7
CODE 3,GREY,5
CODE 3,GREEN,5
COSMO,BLACK,2
COSMO,GREY,1
DOUBLE PRESS,GREY,1
DOUBLE PRESS,GREEN,1
ELYSE,GREY,1
ELYSE,D.BROWN,1
ELYSE,SPICE,1
ELYSE,CRACKED,2
ELYSE,BLACK,7
ELYSE,CHOCOLATE,1
FABELA,BLACK,7
FABELA,BROWN,2
FANNY PACK,BROWN,1
FAYOLA,GREY,1
FAYOLA,GREEN,1
FEROZ,GREY,1
FEROZ,BLACK,6
FEROZ,GREEN,1
JADE,BLACK,3
JADE,GREY,1
JAMELA,CRACKED,1
JAMELA,BLACK,2
JAMELA,BEIGE,2
JUMBO,BLACK,6
JUMBO,BROWN,6
JUMBO,GREY,14
JUMBO,NUDE,1
KAI,BLACK,23
KAI,BROWN,1
KARINA,BLACK,2
KARINA,GREY,3
KARINA,SPICE,1
KATE,BLACK,8
KATE,SPICE,1
KATE,GREY,5
KATE,CRACKED,1
KATE,DARK BROWN,2
KATE,CHOCOLATE,2
KAYLA,CRACKED,1
KAZ,BLACK,1
LANKA,WOVEN BLACK,1
LEILA,CRACKED,5
LEILA,DARK BROWN,1
LIAM,BLACK,4
LIAM,NUDE,1
LIAM,GREEN,1
LIAM,GREY,1
LOLA,GREY,1
LOLA,CHOCO,1
LOLA,CRACKED,1
LOLA,RED,1
LOLA,SPICE,1
LOLA,DARK BROWN,1
LOOP BP,GREY,3
LUNA,GREEN,2
LUNA,BROWN,1
LUNA,NUDE,1
LUNA,GREY,5
LUNCHSET,BLACK,2
LUNCHSET,NUDE,1
LUNCHSET,GREEN,2
LUNCHSET,GREY,1
MAN BAG,BLACK,13
MAN BAG,BROWN,5
MAN BAG,NUDE,2
MAN BAG,GREY,10
MAN BAG,GREEN,2
MANDY HANDBAG,CRACKED,1
